bug_id,patch_id,project,ground_truth_label,tercile,size
Chart-19,Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart,correct,large,4
Chart-12,Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Chart,correct,small,1
Closure-115,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure,correct,small,1
Chart-15,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart,overfitting,large,379
Lang-58,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,Lang,overfitting,small,1
Closure-117,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,Closure,overfitting,small,1
Math-28,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,Math,overfitting,small,1
Time-11,Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,Time,overfitting,small,2
Time-15,Patches_ICSE__Dsame__ACS__Time__patch1-Time-15-ACS,Time,correct,small,2
Lang-43,Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-43-SimFix,Lang,correct,small,1
Math-53,Patches_others__Dcorrect__CapGen__Math__patch1-Math-53-CapGen,Math,correct,small,1
Closure-14,Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-14-SimFix-plausible,Closure,overfitting,small,2
Closure-14,Patches_others__Dcorrect__SketchFix__Closure__patch1-Closure-14-SketchFix,Closure,correct,small,2
Closure-31,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,Closure,overfitting,small,2
Closure-31,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-31-RSRepair-plausible,Closure,overfitting,small,2
Closure-31,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-31-Jaid,Closure,correct,small,2
Lang-24,Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang,correct,small,2
Lang-24,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible,Lang,overfitting,large,3
Lang-24,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,Lang,overfitting,large,3
Lang-39,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Lang,overfitting,small,2
Lang-39,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-39-TBar-plausible,Lang,overfitting,small,2
Lang-39,Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,Lang,overfitting,large,12
Lang-39,Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-39-SimFix,Lang,correct,large,3
Math-35,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,Math,correct,large,13
Math-35,Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,Math,overfitting,large,7
Math-4,Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,Math,overfitting,large,4
Math-4,Patches_ICSE__Doverfitting__Nopol__Math__patch1-Math-4-Nopol-plausible,Math,overfitting,large,4
Math-4,Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-4-AVATAR,Math,correct,large,6
Closure-38,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Closure,correct,small,2
