sha1,patch_id,bug_id,tool,label,group_size,same_bug,label_conflict
9f5b9dee2cc83f257ae4c7d7654038191216b48e,Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart-11,AVATAR,correct,4,True,False
9f5b9dee2cc83f257ae4c7d7654038191216b48e,Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen,Chart-11,Cardumen,correct,4,True,False
9f5b9dee2cc83f257ae4c7d7654038191216b48e,Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner,Chart-11,FixMiner,correct,4,True,False
9f5b9dee2cc83f257ae4c7d7654038191216b48e,Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar,Chart-11,TBar,correct,4,True,False
567c95a0b4847572f497c7046c3ea702e2360a2c,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang-10,AVATAR,correct,2,True,False
567c95a0b4847572f497c7046c3ea702e2360a2c,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang-10,TBar,correct,2,True,False
bdd7a424cddd35264f1ba2869e45e69925ebfbc8,Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,Closure-126,Kali,correct,2,True,False
bdd7a424cddd35264f1ba2869e45e69925ebfbc8,Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Closure-126,jKali,correct,2,True,False
f3d2ff85c0f3d1caf8afac16ff84d56fe9f6c11a,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart-15,AVATAR,overfitting,2,True,False
f3d2ff85c0f3d1caf8afac16ff84d56fe9f6c11a,Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-15-TBar-plausible,Chart-15,TBar,overfitting,2,True,False
f9f4b1f15a03e04d4dfca6886ba81adf902baa0e,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-25-AVATAR-plausible,Chart-25,AVATAR,overfitting,2,True,False
f9f4b1f15a03e04d4dfca6886ba81adf902baa0e,Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-25-TBar-plausible,Chart-25,TBar,overfitting,2,True,False
