policy,category,identifier,files_matched,patch_ids
primary,borderline,ACS-Lang-7,1,Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS
primary,borderline,kPAR-Lang-7,1,Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR
primary,borderline,TBar-Lang-7,1,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar
primary,failed_plausibility,Kali-Closure-133,0,
primary,failed_plausibility,kPAR-Chart-12,1,Patches_ICSE__Error__patch1-Chart-12-kPAR-plausible
primary,failed_plausibility,FixMiner-Chart-12,1,Patches_ICSE__Error__patch1-Chart-12-FixMiner-plausible
primary,failed_plausibility,patch1-Lang-6-SketchFix-plausible,1,Patches_others__Doverfitting__SketchFix__Lang__patch1-Lang-6-SketchFix-plausible
primary,failed_plausibility,patch2-Lang-6-SketchFix-plausible,1,Patches_others__Doverfitting__SketchFix__Lang__patch2-Lang-6-SketchFix-plausible
primary,failed_plausibility,patch1-Math-2-SOFix,1,Patches_others__Dcorrect__SOFix__Math__patch1-Math-2-SOFix
primary,other_project,Kali-A-Mockito-10,0,
primary,other_project,Arja-Mockito-10,0,
primary,corrections,patch2-Lang-51-Jaid,1,Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-51-Jaid
primary,corrections,patch1-Lang-43-CapGen,1,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-43-CapGen
primary,corrections,patch2-Lang-43-CapGen,1,Patches_others__Dcorrect__CapGen__Lang__patch2-Lang-43-CapGen
primary,corrections,patch2-Math-53-CapGen,1,Patches_others__Dcorrect__CapGen__Math__patch2-Math-53-CapGen
primary,corrections,patch2-Math-53-Jaid,1,Patches_others__Dcorrect__Jaid__Math__patch2-Math-53-Jaid
primary,corrections,jKali-Lang-7,1,Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali
primary,corrections,ACS-Lang-35,1,Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS
primary,corrections,Arja-Math-35,1,Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja
primary,corrections,SimFix-Math-72,1,Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix
primary,corrections,SimFix-Closure-19,1,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix
primary,corrections,Arja-Math-50,1,Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja
primary,corrections,SimFix-Lang-60,1,Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix
sensitivity,mislabeled,patch2-Lang-51-Jaid,1,Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-51-Jaid
sensitivity,mislabeled,patch1-Lang-43-CapGen,1,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-43-CapGen
sensitivity,mislabeled,patch2-Lang-43-CapGen,1,Patches_others__Dcorrect__CapGen__Lang__patch2-Lang-43-CapGen
sensitivity,mislabeled,patch2-Math-53-CapGen,1,Patches_others__Dcorrect__CapGen__Math__patch2-Math-53-CapGen
sensitivity,mislabeled,patch2-Math-53-Jaid,1,Patches_others__Dcorrect__Jaid__Math__patch2-Math-53-Jaid
sensitivity,mislabeled,jKali-Lang-7,1,Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali
sensitivity,mislabeled,ACS-Lang-35,1,Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS
sensitivity,mislabeled,Arja-Math-35,1,Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja
sensitivity,mislabeled,SimFix-Math-72,1,Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix
sensitivity,mislabeled,SimFix-Closure-19,1,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix
sensitivity,mislabeled,Arja-Math-50,1,Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja
sensitivity,mislabeled,SimFix-Lang-60,1,Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix
sensitivity,borderline,ACS-Lang-7,1,Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS
sensitivity,borderline,kPAR-Lang-7,1,Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR
sensitivity,borderline,TBar-Lang-7,1,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar
sensitivity,failed_plausibility,Kali-Closure-133,0,
sensitivity,failed_plausibility,kPAR-Chart-12,1,Patches_ICSE__Error__patch1-Chart-12-kPAR-plausible
sensitivity,failed_plausibility,FixMiner-Chart-12,1,Patches_ICSE__Error__patch1-Chart-12-FixMiner-plausible
sensitivity,failed_plausibility,patch1-Lang-6-SketchFix-plausible,1,Patches_others__Doverfitting__SketchFix__Lang__patch1-Lang-6-SketchFix-plausible
sensitivity,failed_plausibility,patch2-Lang-6-SketchFix-plausible,1,Patches_others__Doverfitting__SketchFix__Lang__patch2-Lang-6-SketchFix-plausible
sensitivity,failed_plausibility,patch1-Math-2-SOFix,1,Patches_others__Dcorrect__SOFix__Math__patch1-Math-2-SOFix
sensitivity,other_project,Kali-A-Mockito-10,0,
sensitivity,other_project,Arja-Mockito-10,0,
