patch_id,bug_id,policy,archive_folder,original_label,exclusion_reason
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS,Lang-7,primary,Ddifferent,correct,borderline:ACS-Lang-7
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar,Lang-7,primary,Ddifferent,correct,borderline:TBar-Lang-7
Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,Lang-7,primary,Ddifferent,correct,borderline:kPAR-Lang-7
Patches_ICSE__Error__patch1-Chart-12-FixMiner-plausible,Chart-12,primary,Error,,failed_plausibility:FixMiner-Chart-12
Patches_ICSE__Error__patch1-Chart-12-kPAR-plausible,Chart-12,primary,Error,,failed_plausibility:kPAR-Chart-12
Patches_ICSE__Error__patch1-Closure-106-SimFix-plausible,Closure-106,primary,Error,,unlabeled_folders:Error
Patches_others__Dcorrect__SOFix__Math__patch1-Math-2-SOFix,Math-2,primary,Dcorrect,correct,failed_plausibility:patch1-Math-2-SOFix
Patches_others__Doverfitting__SketchFix__Lang__patch1-Lang-6-SketchFix-plausible,Lang-6,primary,Doverfitting,overfitting,failed_plausibility:patch1-Lang-6-SketchFix-plausible
Patches_others__Doverfitting__SketchFix__Lang__patch2-Lang-6-SketchFix-plausible,Lang-6,primary,Doverfitting,overfitting,failed_plausibility:patch2-Lang-6-SketchFix-plausible
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,Lang-35,sensitivity,Ddifferent,correct,mislabeled:ACS-Lang-35
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS,Lang-7,sensitivity,Ddifferent,correct,borderline:ACS-Lang-7
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,Math-35,sensitivity,Ddifferent,correct,mislabeled:Arja-Math-35
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Math-50,sensitivity,Ddifferent,correct,mislabeled:Arja-Math-50
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Closure-19,sensitivity,Ddifferent,correct,mislabeled:SimFix-Closure-19
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Lang-60,sensitivity,Ddifferent,correct,mislabeled:SimFix-Lang-60
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix,Math-72,sensitivity,Ddifferent,correct,mislabeled:SimFix-Math-72
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar,Lang-7,sensitivity,Ddifferent,correct,borderline:TBar-Lang-7
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Lang-7,sensitivity,Ddifferent,correct,mislabeled:jKali-Lang-7
Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,Lang-7,sensitivity,Ddifferent,correct,borderline:kPAR-Lang-7
Patches_ICSE__Error__patch1-Chart-12-FixMiner-plausible,Chart-12,sensitivity,Error,,failed_plausibility:FixMiner-Chart-12
Patches_ICSE__Error__patch1-Chart-12-kPAR-plausible,Chart-12,sensitivity,Error,,failed_plausibility:kPAR-Chart-12
Patches_ICSE__Error__patch1-Closure-106-SimFix-plausible,Closure-106,sensitivity,Error,,unlabeled_folders:Error
Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-43-CapGen,Lang-43,sensitivity,Dcorrect,correct,mislabeled:patch1-Lang-43-CapGen
Patches_others__Dcorrect__CapGen__Lang__patch2-Lang-43-CapGen,Lang-43,sensitivity,Dcorrect,correct,mislabeled:patch2-Lang-43-CapGen
Patches_others__Dcorrect__CapGen__Math__patch2-Math-53-CapGen,Math-53,sensitivity,Dcorrect,correct,mislabeled:patch2-Math-53-CapGen
Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-51-Jaid,Lang-51,sensitivity,Dcorrect,correct,mislabeled:patch2-Lang-51-Jaid
Patches_others__Dcorrect__Jaid__Math__patch2-Math-53-Jaid,Math-53,sensitivity,Dcorrect,correct,mislabeled:patch2-Math-53-Jaid
Patches_others__Dcorrect__SOFix__Math__patch1-Math-2-SOFix,Math-2,sensitivity,Dcorrect,correct,failed_plausibility:patch1-Math-2-SOFix
Patches_others__Doverfitting__SketchFix__Lang__patch1-Lang-6-SketchFix-plausible,Lang-6,sensitivity,Doverfitting,overfitting,failed_plausibility:patch1-Lang-6-SketchFix-plausible
Patches_others__Doverfitting__SketchFix__Lang__patch2-Lang-6-SketchFix-plausible,Lang-6,sensitivity,Doverfitting,overfitting,failed_plausibility:patch2-Lang-6-SketchFix-plausible
