duplicate_group_id,bug_id,member_patch_ids,number_of_duplicates,labels_consistent
DUP0001,Chart-1,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-1-AVATAR;Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-1-FixMiner;Patches_ICSE__Dsame__SimFix__Chart__patch1-Chart-1-SimFix;Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-1-TBar;Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair;Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-1-kPAR,6,True
DUP0002,Chart-1,Patches_others__Dcorrect__CapGen__Chart__patch1-Chart-1-CapGen;Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-1-SOFix,2,True
DUP0003,Chart-11,Patches_others__Dcorrect__CapGen__Chart__patch1-Chart-11-CapGen;Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-11-SOFix,2,True
DUP0004,Chart-11,Patches_others__Dcorrect__CapGen__Chart__patch2-Chart-11-CapGen;Patches_others__Dcorrect__SequenceR__Chart__patch1-Chart-11-SequenceR,2,True
DUP0005,Chart-11,Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR;Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen;Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner;Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar,4,True
DUP0006,Chart-12,Patches_ICSE__Error__patch1-Chart-12-FixMiner-plausible;Patches_ICSE__Error__patch1-Chart-12-kPAR-plausible,2,True
DUP0007,Chart-13,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-13-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-13-kPAR-plausible,2,True
DUP0008,Chart-14,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-14-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-14-kPAR-plausible,2,True
DUP0009,Chart-15,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-15-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-15-kPAR-plausible,2,True
DUP0010,Chart-15,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-15-TBar-plausible,2,True
DUP0011,Chart-17,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-17-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-17-kPAR-plausible,2,True
DUP0012,Chart-19,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-19-AVATAR;Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-19-FixMiner;Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-19-TBar;Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-19-kPAR,4,True
DUP0013,Chart-24,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-24-AVATAR;Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-24-TBar,2,True
DUP0014,Chart-24,Patches_others__Dcorrect__CapGen__Chart__patch1-Chart-24-CapGen;Patches_others__Dcorrect__SketchFix__Chart__patch1-Chart-24-SketchFix,2,True
DUP0015,Chart-25,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-25-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-25-TBar-plausible,2,True
DUP0016,Chart-25,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-25-kPAR-plausible,2,True
DUP0017,Chart-26,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-26-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-26-kPAR-plausible,2,True
DUP0018,Chart-3,Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-3-TBar-plausible;Patches_ICSE__Doverfitting__jGenProg__Chart__patch1-Chart-3-jGenProg-plausible,2,True
DUP0019,Chart-3,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-3-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-3-kPAR-plausible,2,True
DUP0020,Chart-4,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-4-AVATAR;Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-4-FixMiner;Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-4-TBar;Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-4-kPAR,4,True
DUP0021,Chart-7,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-7-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-7-kPAR-plausible,2,True
DUP0022,Closure-106,Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-106-SimFix-plausible;Patches_ICSE__Error__patch1-Closure-106-SimFix-plausible,2,True
DUP0023,Closure-109,Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-109-TBar-plausible;Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-109-kPAR-plausible,2,True
DUP0024,Closure-12,Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-12-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-12-TBar-plausible,2,True
DUP0025,Closure-126,Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali;Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,2,True
DUP0026,Closure-129,Patches_ICSE__Doverfitting__FixMiner__Closure__patch1-Closure-129-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-129-kPAR-plausible,2,True
DUP0027,Closure-129,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-129-Arja-plausible;Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-129-GenProg-plausible;Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-129-RSRepair-plausible,3,True
