patch_id,bug_id,project,bug_number,ground_truth_label,original_label,original_dataset_location,normalized_patch_location,duplicate_group_id,APR_tool,included_primary,included_sensitivity,correction_status,exclusion_reason,label_sensitivity,exclusion_reason_sensitivity,trigger_tests_available,buggy_checkout_available,fixed_checkout_available,patch_applies,patch_compiles,original_tests_pass
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,Chart,19,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Chart/patch1-Chart-19-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,Lang,24,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Lang/patch1-Lang-24-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,Lang-35,Lang,35,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Lang/patch1-Lang-35-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS.diff,,ACS,True,False,corrected:correct->overfitting,,,mislabeled:ACS-Lang-35,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS,Lang-7,Lang,7,,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Lang/patch1-Lang-7-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS.diff,,ACS,False,False,none,borderline:ACS-Lang-7,,borderline:ACS-Lang-7,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,Math-25,Math,25,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-25-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,Math,3,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-3-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,Math-35,Math,35,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-35-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-5-ACS,Math-5,Math,5,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-5-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-5-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,Math-61,Math,61,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-61-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,Math,82,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-82-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math-85,Math,85,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-85-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-89-ACS,Math-89,Math,89,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-89-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-89-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-90-ACS,Math-90,Math,90,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-90-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-90-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-99-ACS,Math-99,Math,99,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/ACS/Math/patch1-Math-99-ACS.patch,data/normalized_patches/Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-99-ACS.diff,,ACS,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
