patch_id,raw_changed_lines,normalized_changed_lines,normalization_applied,verification_status
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,7614,4,True,PASS
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,4,4,False,PASS
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-7-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,13,13,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-5-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,4,4,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,3,3,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,3,3,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-89-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-90-ACS,2,2,False,PASS
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-99-ACS,4,4,False,PASS
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,2,2,False,PASS
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,4,4,False,PASS
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,5,5,False,PASS
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,2,2,False,PASS
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,8,8,False,PASS
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,2,2,False,PASS
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,3,1,True,PASS
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,1,1,False,PASS
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,8,8,False,PASS
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,9,7,True,PASS
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,8,8,False,PASS
Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen,2,2,False,PASS
Patches_ICSE__Ddifferent__DynaMoth__Math__patch1-Math-50-DynaMoth,4,4,False,PASS
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner,2,2,False,PASS
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-24-FixMiner,2,2,False,PASS
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg,1,1,False,PASS
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,1,1,False,PASS
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-115-Kali,2,2,False,PASS
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,2,2,False,PASS
Patches_ICSE__Ddifferent__Kali__Math__patch1-Math-50-Kali,2,2,False,PASS
Patches_ICSE__Ddifferent__Nopol__Lang__patch1-Lang-46-Nopol,4,4,False,PASS
Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,2,2,False,PASS
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,6,6,False,PASS
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,7,7,False,PASS
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,2,2,False,PASS
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-6-SimFix,9,9,False,PASS
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-68-SimFix,8,8,False,PASS
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,9,9,False,PASS
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-71-SimFix,11,11,False,PASS
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix,8,8,False,PASS
Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar,2,2,False,PASS
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,8,8,False,PASS
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-33-TBar,4,4,False,PASS
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-47-TBar,3,3,False,PASS
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar,2,2,False,PASS
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-11-TBar,2,2,False,PASS
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-65-TBar,2,2,False,PASS
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,64,64,False,PASS
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,11,11,False,PASS
Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,2,2,False,PASS
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali,2,2,False,PASS
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,2,2,False,PASS
Patches_ICSE__Ddifferent__jKali__Math__patch1-Math-50-jKali,6,6,False,PASS
