rater_id,pair_id,bug_id,project,patch_A,patch_B,stratum
R2,P104,Math-81,Math,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-81-FixMiner-plausible,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-81-Arja-plausible,Math|O-O|medium
R3,P007,Chart-7,Chart,Patches_ICSE__Doverfitting__jGenProg__Chart__patch1-Chart-7-jGenProg-plausible,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-7-FixMiner-plausible,Chart|O-O|small
R1,P006,Chart-9,Chart,Patches_others__Doverfitting__Jaid__Chart__patch1-Chart-9-Jaid-plausible,Patches_others__Doverfitting__Jaid__Chart__patch2-Chart-9-Jaid-plausible,Chart|O-O|medium
R1,P048,Closure-62,Closure,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-62-SimFix,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-62-jKali-plausible,Closure|C-O|medium
R1,P118,Closure-62,Closure,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-62-kPAR-plausible,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-62-AVATAR,Closure|C-O|medium
R3,P141,Chart-4,Chart,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-4-AVATAR,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-4-SOFix,Chart|C-C|medium
R3,P034,Math-85,Math,Patches_others__Doverfitting__SequenceR__Math__patch2-Math-85-SequenceR,Patches_others__Doverfitting__Jaid__Math__patch4-Math-85-Jaid-plausible,Math|O-O|small
R1,P145,Chart-1,Chart,Patches_others__Doverfitting__SketchFix__Chart__patch1-Chart-1-SketchFix-plausible,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-1-kPAR,Chart|C-O|small
R3,P195,Lang-55,Lang,Patches_ICSE__Doverfitting__Nopol__Lang__patch1-Lang-55-Nopol-plausible,Patches_others__Dcorrect__Jaid__Lang__patch1-Lang-55-Jaid,Lang|C-O|medium
R3,P184,Closure-126,Closure,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Patches_ICSE__Dsame__RSRepair__Closure__patch1-Closure-126-RSRepair,Closure|C-C|large
R1,P181,Chart-13,Chart,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-13-GenProg-plausible,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-13-Arja-plusible,Chart|O-O|large
R1,P011,Closure-126,Closure,Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-126-SimFix-plausible,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Closure|C-O|large
R2,P009,Closure-115,Closure,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Closure|C-C|medium
R1,P067,Math-5,Math,Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-5-Cardumen-plausible,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-5-SequenceR,Math|C-O|small
R1,P093,Lang-51,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-51-kPAR-plausible,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-51-SOFix,Lang|C-O|small
R3,P129,Lang-39,Lang,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-39-TBar-plausible,Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,Lang|O-O|large
R1,P198,Lang-59,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Patches_others__Doverfitting__CapGen__Lang__patch13-Lang-59-CapGen-plausible,Lang|O-O|medium
R1,P083,Closure-126,Closure,Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-126-SimFix-plausible,Patches_ICSE__Dsame__RSRepair__Closure__patch1-Closure-126-RSRepair,Closure|C-O|medium
R2,P022,Lang-59,Lang,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-59-CapGen,Patches_others__Doverfitting__CapGen__Lang__patch9-Lang-59-CapGen-plausible,Lang|C-O|small
R3,P048,Closure-62,Closure,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-62-jKali-plausible,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-62-SimFix,Closure|C-O|medium
R1,P004,Chart-1,Chart,Patches_others__Doverfitting__SketchFix__Chart__patch2-Chart-1-SketchFix-plausible,Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair,Chart|C-O|small
R3,P001,Chart-1,Chart,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-1-SOFix,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-1-kPAR,Chart|C-C|small
R2,P124,Lang-51,Lang,Patches_others__Dcorrect__Jaid__Lang__patch6-Lang-51-Jaid,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-51-SOFix,Lang|C-C|medium
R3,P188,Closure-63,Closure,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-63-SimFix,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-63-jKali-plausible,Closure|C-O|medium
R3,P025,Lang-59,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Patches_others__Doverfitting__CapGen__Lang__patch1-Lang-59-CapGen-plausible,Lang|O-O|small
R2,P168,Math-70,Math,Patches_ICSE__Dsame__TBar__Math__patch1-Math-70-TBar,Patches_others__Dcorrect__CapGen__Math__patch1-Math-70-CapGen,Math|C-C|medium
R3,P194,Lang-59,Lang,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-59-TBar,Lang|C-C|small
R1,P130,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch9-Lang-59-CapGen-plausible,Patches_others__Doverfitting__CapGen__Lang__patch4-Lang-59-CapGen-plausible,Lang|O-O|medium
R3,P073,Chart-19,Chart,Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-19-FixMiner,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-19-Arja-plusible,Chart|C-O|large
R3,P027,Math-85,Math,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-85-SequenceR,Math|C-C|medium
R1,P087,Closure-92,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch9-Closure-92-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch3-Closure-92-SequenceR,Closure|O-O|small
R3,P115,Closure-126,Closure,Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Patches_ICSE__Dsame__RSRepair__Closure__patch1-Closure-126-RSRepair,Closure|C-C|medium
R1,P071,Chart-24,Chart,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-24-AVATAR,Patches_others__Dcorrect__Jaid__Chart__patch2-Chart-24-Jaid,Chart|C-C|medium
R3,P150,Closure-126,Closure,Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Patches_ICSE__Dsame__RSRepair__Closure__patch1-Closure-126-RSRepair,Closure|C-C|medium
R1,P023,Lang-53,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-53-kPAR-plausible,Patches_ICSE__Doverfitting__Nopol__Lang__patch1-Lang-53-Nopol-plausible,Lang|O-O|large
