patch_id,bug_id,model,s_cex,n_valid,n_passed,n_generated,input_tokens,output_tokens,error
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,claude-haiku-4-5,1.0,2,2,3,3762,1013,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,claude-haiku-4-5,1.0,1,1,3,3684,950,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,claude-haiku-4-5,1.0,1,1,3,3004,991,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,claude-haiku-4-5,,0,0,3,2168,2099,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math-85,claude-haiku-4-5,,0,0,3,3010,1680,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math-80,claude-haiku-4-5,,0,0,3,2159,2327,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,Math-82,claude-haiku-4-5,,0,0,4,2014,2091,
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart-1,claude-haiku-4-5,1.0,2,2,3,3065,1421,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,Math-82,claude-haiku-4-5,,0,0,3,2746,4619,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math-85,claude-haiku-4-5,,0,0,3,3004,2440,
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart-1,claude-haiku-4-5,0.6666666666666666,3,2,4,3010,1745,
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,Math-85,claude-haiku-4-5,,0,0,4,3095,1958,
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,Chart-1,claude-haiku-4-5,0.6666666666666666,3,2,3,4378,1727,
