patch_id,bug_id,project,ground_truth_label,included_primary,duplicate_group_id,s_sem_final,semantic_decision,n_parsed,n_runs,s_cex,cex_n_valid,cex_n_passed,s_edit_ast,s_vuln_changed,analysis_level,d_cyclomatic,d_stmts,d_branch_points,d_cfg_edges,d_defuse_pairs,memorization_recognized,complete,terminal_failure
Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart-19,Chart,correct,True,,0.050000000000000044,OVERFITTING,3,3,1.0,2,2,0.21138211382113822,0,DATAFLOW,0,12,2,12,6,False,True,
Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-24-ACS,Lang-24,Lang,correct,True,,0.050000000000000044,OVERFITTING,3,3,1.0,1,1,0.029288702928870293,0,DATAFLOW,0,2,1,2,0,False,True,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,Math,correct,True,,0.050000000000000044,OVERFITTING,3,3,1.0,1,1,0.05263157894736842,0,DATAFLOW,0,7,1,7,5,False,True,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,Math,correct,True,,0.15000000000000002,OVERFITTING,3,3,,0,0,0.12781954887218044,0,DATAFLOW,1,5,1,6,4,False,True,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math-85,Math,correct,True,,0.050000000000000044,OVERFITTING,3,3,,0,0,0.047619047619047616,0,DATAFLOW,1,3,1,4,2,False,True,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math-80,Math,overfitting,True,DUP0072,0.15000000000000002,OVERFITTING,3,3,,0,0,0.07462686567164178,0,DATAFLOW,0,1,0,1,1,False,True,
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,Math-82,Math,overfitting,True,,0.050000000000000044,OVERFITTING,3,3,,0,0,0.0449438202247191,0,DATAFLOW,0,1,0,1,1,False,True,
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart-1,Chart,overfitting,True,,0.050000000000000044,OVERFITTING,3,3,1.0,2,2,0.11602209944751381,0,DATAFLOW,0,0,-1,0,1,True,True,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,Math-80,Math,overfitting,True,,0.050000000000000044,OVERFITTING,3,3,,,,0.07952468007312614,1.0,DATAFLOW,-1,-29,-1,-30,-27,False,False,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,Math-82,Math,overfitting,True,,0.08333333333333337,OVERFITTING,3,3,,0,0,0.200836820083682,0,DATAFLOW,1,9,1,10,6,False,True,
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math-85,Math,overfitting,True,,0.023333333333333355,OVERFITTING,3,3,,0,0,0.06593406593406594,0,DATAFLOW,1,-24,0,-23,-22,False,True,
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-85-Cardumen-plausible,Math-85,Math,overfitting,True,,,,,,,,,,,,,,,,,,False,apply_patch
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart-1,Chart,overfitting,True,,0.050000000000000044,OVERFITTING,3,3,0.6666666666666666,3,2,0.06629834254143646,0,DATAFLOW,0,-2,-1,-2,0,False,True,
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,Math-85,Math,overfitting,True,,0.050000000000000044,OVERFITTING,3,3,,0,0,0.014652014652014652,0,DATAFLOW,1,-24,0,-23,-22,False,True,
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,Chart-1,Chart,overfitting,True,,0.050000000000000044,OVERFITTING,3,3,0.6666666666666666,3,2,0.1284153005464481,0.5,DATAFLOW,1,5,0,6,6,False,True,
